NEIGHBORHOOD,TYPE_OF_HOME,NUMBER_OF_SALES,LOWEST_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,HIGHEST_SALE_PRICE
"HOLLIS HILLS             ","01 ONE FAMILY HOMES     ",36,480000,760148,698000,1330000
"FOREST HILLS             ","01 ONE FAMILY HOMES     ",137,330000,1036661,875000,4300000
"LITTLE NECK              ","01 ONE FAMILY HOMES     ",79,350000,737114,672000,2150000
"BAYSIDE                  ","01 ONE FAMILY HOMES     ",298,200000,660544,621500,2200000
"LAURELTON                ","01 ONE FAMILY HOMES     ",102,200000,336707,359380,492000
"OAKLAND GARDENS          ","01 ONE FAMILY HOMES     ",60,200000,633570,662500,955000
"QUEENS VILLAGE           ","01 ONE FAMILY HOMES     ",208,200000,356296,359000,689355
"FLUSHING-NORTH           ","01 ONE FAMILY HOMES     ",519,200000,641791,625000,1410000
"HOLLIS                   ","01 ONE FAMILY HOMES     ",127,200000,354562,365000,675000
"SOUTH OZONE PARK         ","01 ONE FAMILY HOMES     ",139,200000,348342,345000,678000
"ROSEDALE                 ","01 ONE FAMILY HOMES     ",92,200000,340330,341000,640479
"JAMAICA                  ","01 ONE FAMILY HOMES     ",21,200000,431987,390000,1425000
"JACKSON HEIGHTS          ","01 ONE FAMILY HOMES     ",68,200000,512749,520500,940000
"RICHMOND HILL            ","01 ONE FAMILY HOMES     ",146,200000,370394,362750,920681
"FRESH MEADOWS            ","01 ONE FAMILY HOMES     ",97,200000,626247,645000,1200000
"FLUSHING-SOUTH           ","01 ONE FAMILY HOMES     ",241,200000,572469,550000,1588000
"JAMAICA HILLS            ","01 ONE FAMILY HOMES     ",16,200000,490106,475000,829500
"ST. ALBANS               ","01 ONE FAMILY HOMES     ",233,200000,328260,340000,550000
"SO. JAMAICA-BAISLEY PARK ","01 ONE FAMILY HOMES     ",190,200000,306280,301000,605016
"SOUTH JAMAICA            ","01 ONE FAMILY HOMES     ",94,200000,311178,308500,798175
"SPRINGFIELD GARDENS      ","01 ONE FAMILY HOMES     ",153,200000,319628,320000,580000
"HOWARD BEACH             ","01 ONE FAMILY HOMES     ",81,200000,534960,524000,1375000
"WOODHAVEN                ","01 ONE FAMILY HOMES     ",103,200000,368416,360000,910000
"ASTORIA                  ","01 ONE FAMILY HOMES     ",61,200000,611097,590000,999980
"EAST ELMHURST            ","01 ONE FAMILY HOMES     ",44,200000,416775,410000,1575000
"CORONA                   ","01 ONE FAMILY HOMES     ",32,210000,427219,434000,700000
"WHITESTONE               ","01 ONE FAMILY HOMES     ",127,210000,713589,648000,2600000
"BELLEROSE                ","01 ONE FAMILY HOMES     ",105,210000,455676,455000,890000
"FAR ROCKAWAY             ","01 ONE FAMILY HOMES     ",43,210000,483187,425000,999000
"ARVERNE                  ","01 ONE FAMILY HOMES     ",4,220000,264680,265553,307612
"JAMAICA BAY              ","01 ONE FAMILY HOMES     ",1,230000,230000,230000,230000
"ROCKAWAY PARK            ","01 ONE FAMILY HOMES     ",4,315000,379250,376000,450000
"ELMHURST                 ","01 ONE FAMILY HOMES     ",48,315000,558085,554250,942000
"COLLEGE POINT            ","01 ONE FAMILY HOMES     ",66,315000,500717,477500,750000
"RIDGEWOOD                ","01 ONE FAMILY HOMES     ",17,210300,425803,450000,565000
"REGO PARK                ","01 ONE FAMILY HOMES     ",62,400000,661626,620000,1125000
"JAMAICA ESTATES          ","01 ONE FAMILY HOMES     ",54,325000,883484,852500,1800000
"BRIARWOOD                ","01 ONE FAMILY HOMES     ",20,262800,467926,478750,655000
"BROAD CHANNEL            ","01 ONE FAMILY HOMES     ",5,250000,380800,380000,500000
"SUNNYSIDE                ","01 ONE FAMILY HOMES     ",18,250000,612194,629500,820000
"DOUGLASTON               ","01 ONE FAMILY HOMES     ",59,420000,977505,767500,2600000
"GLENDALE                 ","01 ONE FAMILY HOMES     ",56,260000,485201,470000,800000
"AIRPORT LA GUARDIA       ","01 ONE FAMILY HOMES     ",3,505000,555000,540000,620000
"LONG ISLAND CITY         ","01 ONE FAMILY HOMES     ",7,270000,1221429,525000,5300000
